Date of Reading,(CUS) IF0832 (Flow) (Flow (m3/hr)),(CUS) IF0833 (Flow) (Flow (m3/hr)),(IN) IF1801 (Flow) (Flow (m3/hr)),(OUT) IF0802 Flow (Flow (m3/hr)),Itchingfield 250mm east TM (Balance) (Flow (m3/hr))
22/08/2022 19:15:00,,,7.852,0,7.852
22/08/2022 19:30:00,,,5.584,0,5.584
22/08/2022 19:45:00,,,6.668,0,6.668
22/08/2022 20:00:00,,,8.44,0,8.44
22/08/2022 20:15:00,,,6.784,0,6.784
22/08/2022 20:30:00,,,7.872,0,7.872
22/08/2022 20:45:00,,,8.652,0,8.652
22/08/2022 21:00:00,,,7.068,0,7.068
22/08/2022 21:15:00,,,6.132,0,6.132
22/08/2022 21:30:00,,,4.64,0,4.64
22/08/2022 21:45:00,,,4.824,0,4.824
22/08/2022 22:00:00,,,5.18,0,5.18
22/08/2022 22:15:00,,,5.412,0,5.412
22/08/2022 22:30:00,,,4.272,0,4.272
22/08/2022 22:45:00,,,3.36,0,3.36
22/08/2022 23:00:00,,,2.932,0,2.932
22/08/2022 23:15:00,,,2.64,0,2.64
22/08/2022 23:30:00,,,3.08,0,3.08
22/08/2022 23:45:00,,,2.952,0,2.952
23/08/2022 00:00:00,,,2.396,0,2.396
23/08/2022 00:15:00,,,3.852,0,3.852
23/08/2022 00:30:00,,,2.46,0,2.46
23/08/2022 00:45:00,,,2.336,0,2.336
23/08/2022 01:00:00,,,2.184,0,2.184
23/08/2022 01:15:00,,,3.348,0,3.348
23/08/2022 01:30:00,,,2.532,0,2.532
23/08/2022 01:45:00,,,1.992,0,1.992
23/08/2022 02:00:00,,,2.244,0,2.244
23/08/2022 02:15:00,,,3.516,0,3.516
23/08/2022 02:30:00,,,2.408,0,2.408
23/08/2022 02:45:00,,,2.2,0,2.2
23/08/2022 03:00:00,,,3.496,0,3.496
23/08/2022 03:15:00,,,2.116,0,2.116
23/08/2022 03:30:00,,,2.104,0,2.104
23/08/2022 03:45:00,,,2.612,0,2.612
23/08/2022 04:00:00,,,2.436,0,2.436
23/08/2022 04:15:00,,,3.744,0,3.744
23/08/2022 04:30:00,,,5.584,0,5.584
23/08/2022 04:45:00,,,3.02,0,3.02
23/08/2022 05:00:00,,,3.048,0,3.048
23/08/2022 05:15:00,,,3.256,0,3.256
23/08/2022 05:30:00,,,5.62,0,5.62
23/08/2022 05:45:00,,,5.812,0,5.812
23/08/2022 06:00:00,,,5.696,0,5.696
23/08/2022 06:15:00,,,9.292,0,9.292
23/08/2022 06:30:00,,,7.876,0,7.876
23/08/2022 06:45:00,,,7.436,0,7.436
23/08/2022 07:00:00,,,8.612,0,8.612
23/08/2022 07:15:00,,,12.788,0,12.788
23/08/2022 07:30:00,,,10.76,0,10.76
23/08/2022 07:45:00,,,15.88,0,15.88
23/08/2022 08:00:00,,,11.428,0,11.428
23/08/2022 08:15:00,,,12.304,0,12.304
23/08/2022 08:30:00,,,10.952,0,10.952
23/08/2022 08:45:00,,,13.584,0,13.584
23/08/2022 09:00:00,,,11.108,0,11.108
23/08/2022 09:15:00,,,9.592,0,9.592
23/08/2022 09:30:00,,,7.236,0,7.236
23/08/2022 09:45:00,,,9.292,0,9.292
23/08/2022 10:00:00,,,7.432,0,7.432
23/08/2022 10:15:00,,,6.308,0,6.308
23/08/2022 10:30:00,,,11.084,0,11.084
23/08/2022 10:45:00,,,10.52,0,10.52
23/08/2022 11:00:00,,,8.94,0,8.94
23/08/2022 11:15:00,,,12.208,0,12.208
23/08/2022 11:30:00,,,8.752,0,8.752
23/08/2022 11:45:00,,,9.768,0,9.768
23/08/2022 12:00:00,,,9.3,0,9.3
23/08/2022 12:15:00,,,14.432,0,14.432
23/08/2022 12:30:00,,,9.3,0,9.3
23/08/2022 12:45:00,,,9.228,0,9.228
